Filename,Loss_Type,Subject,Object,Action,Mode,L2_Error_mm,Jerk,Contact_Pts,Penetration,Self_Collision_%
allegro_sdfloss_s1_apple_eat_1_nn.npy,sdfloss,s1,apple,eat_1,nn,4.31,0.004389,0.88,1.82,0.0
allegro_sdfloss_s1_banana_eat_1_nn.npy,sdfloss,s1,banana,eat_1,nn,6.57,0.005199,0.28,0.08,0.0
allegro_sdfloss_s1_binoculars_lift_nn.npy,sdfloss,s1,binoculars,lift,nn,5.57,0.004367,0.65,0.69,0.0
allegro_sdfloss_s1_bowl_drink_1_nn.npy,sdfloss,s1,bowl,drink_1,nn,3.79,0.003935,0.98,0.27,0.0
allegro_sdfloss_s1_camera_browse_1_nn.npy,sdfloss,s1,camera,browse_1,nn,5.11,0.004332,0.16,0.0,0.0
allegro_sdfloss_s1_cubelarge_inspect_1_nn.npy,sdfloss,s1,cubelarge,inspect_1,nn,4.17,0.007501,0.62,1.08,0.0
allegro_sdfloss_s1_cubemedium_inspect_1_nn.npy,sdfloss,s1,cubemedium,inspect_1,nn,6.63,0.002541,0.21,0.42,0.0
allegro_sdfloss_s1_cubesmall_inspect_1_nn.npy,sdfloss,s1,cubesmall,inspect_1,nn,8.92,0.012412,0.14,0.05,0.0
allegro_sdfloss_s1_cup_drink_1_nn.npy,sdfloss,s1,cup,drink_1,nn,5.85,0.002849,0.74,0.26,0.0
allegro_sdfloss_s1_cylinderlarge_inspect_1_nn.npy,sdfloss,s1,cylinderlarge,inspect_1,nn,4.12,0.003704,0.32,1.05,0.0
allegro_sdfloss_s1_cylindermedium_inspect_1_nn.npy,sdfloss,s1,cylindermedium,inspect_1,nn,5.58,0.004449,0.56,0.42,0.0
allegro_sdfloss_s1_cylindersmall_inspect_1_nn.npy,sdfloss,s1,cylindersmall,inspect_1,nn,4.27,0.003782,0.66,0.34,0.0
allegro_sdfloss_s1_doorknob_use_1_nn.npy,sdfloss,s1,doorknob,use_1,nn,3.78,0.002673,0.5,0.0,0.0
